ID,input_artist,input_song_name
1,100 PROOF AGED IN SOUL,EVERYTHING GOOD IS BAD
2,101 BE,ROCK TO THE BEAT
3,10CC,24 HOURS
4,112,ONLY YOU
5,113,LES PRINCES DE LA VILLE
6,2 UNLIMITED,HERE I GO
7,5 STAR,WHENEVER YOURE READY
8,50 CENT,21 QUESTIONS
9,ACE,HOW LONG
10,ADELE,HOMETOWN GLORY
11,ALICE COOPER,POISON
12,ALICIA KEYS,EMPIRE STATE OF MIND
13,ALISHA,BABY TALK
14,ARIANA GRANDE,SIDE TO SIDE
15,ATHLETE,WIRES
16,AVA MAX,SO AM I
17,BADDIEL SKINNER LIGHTNING SEEDS,THREE LIONS
18,BEATLES,HEY JUDE
19,BILLY HENDRIX,BODY SHINE
20,BILLY IDOL,DONT NEED A GUN
21,BLOC PARTY,FLUX
22,BOEF,HABIBA
23,BOYZ II MEN,4 SEASONS OF LONELINESS
24,BRAND NEW HEAVIES,MIDNIGHT AT THE OASIS
25,CAPTAIN,BROKE
26,CELINE DION,TREAT HER LIKE A LADY
27,CHICAGO,BABY WHAT A BIG SURPRISE
28,CHRIS REA,DRIVING HOME FOR CHRISTMAS
29,CHRISTINA AGUILERA,FIGHTER
30,CHUPITO,AMERICAN PIE
31,CLOUSEAU,EN DANS
32,COLLEGE,A REAL HERO
33,CORRS,LONG NIGHT
34,CREED,HIGHER
35,DAVE,FUNKY FRIDAY
36,DAVID GUETTA,BABY WHEN THE LIGHT
37,DEAD OR ALIVE,ID DO ANYTHING
38,DENNIS YOST,STORMY
39,DIANA ROSS,CHAIN REACTION
40,DIRE STRAITS,MONEY FOR NOTHING
41,DJ FLEX,READY
42,DJ FRESH,GOLD DUST
43,DONNAS,FALL BEHIND ME
44,DRAKE,CLUB PARADISE
45,EAST 17,LET IT RAIN
46,EKO FRESH,EK IS BACK
47,ELVIS PRESLEY,JAILHOUSE ROCK
48,EMINEM,WITHOUT ME
49,ENRICO,WATER VERVE
50,ETTA JAMES,LOSERS WEEPERS PART I
51,EVE,LET ME BLOW YA MIND
52,FALL OUT BOY,DANCE DANCE
53,FEEDER,PUSHING THE SENSES
54,FERGIE,BIG GIRLS DONT CRY
55,FILTER,HEY MAN NICE SHOT
56,FOXY,GET OFF
57,FRENCH AFFAIR,MY HEART GOES BOOM LA DI DA DA
58,FULL HOUSE,STANDING ON THE INSIDE
59,FUTURE,X
60,GALLEON,I BELIEVE
61,GARY GLITTER,HOUSE OF THE RISING SUN
62,GARY NUMAN,WE TAKE MYSTERY TO BED
63,GEORGE MICHAEL,MONKEY
64,GERRY AND THE PACEMAKERS,FERRY CROSS THE MERSEY
65,GINO VANNELLI,WILD HORSES
66,GLORIA ESTEFAN,COMING OUT OF THE DARK
67,GOLDEN EARRING,CLEAR NIGHT MOONLIGHT
68,GORILLAZ,FEEL GOOD INC
69,GREEN DAY,MINORITY
70,GUN,RACE WITH THE DEVIL
71,GYRL,GET YOUR GROOVE ON FROM BAPS
72,HADDAWAY,LIFE EVERYBODY NEEDS SOMEBODY TO LOVE
73,HAPPY MONDAYS,STEP ON
74,HEART,DREAMBOAT ANNIE
75,HERB ALPERT,DIAMONDS
76,HERMAN VAN KEEKEN,KOM MAAR DICHT BIJ MIJ
77,HOLLOWAYS,GENERATOR
78,HOT CHOCOLATE,MINDLESS BOOGIE
79,HOZIER,TAKE ME TO CHURCH
80,IAN VAN DAHL,TRY
81,ILONA MITRECEY,DANS MA FUSEE
82,IMAGINE DRAGONS,MONSTER
83,IREEN SHEER,HEUT ABEND HAB ICH KOPFWEH
84,IRON MAIDEN,RUNNING FREE
85,J HUS,MUST BE
86,JACK PENATE,TORN ON THE PLATFORM
87,JACKSONS,STATE OF SHOCK
88,JAMES ARTHUR,GET DOWN
89,JAMES BROWN,THERE IT IS
90,JAMIROQUAI,CORNER OF THE EARTH
91,JANET JACKSON,FEEDBACK
92,JAX JONES BEBE REXHA,HARDER
93,JENIFER,JE DANSE
94,JESSE MCCARTNEY,LEAVIN
95,JIMMIE RODGERS,CHILD OF CLAY
96,JODY REYNOLDS,FIRE OF LOVE
97,JOHN SPENCER,BYE BYE BLONDIE
98,JOHNNY LION,SOPHIETJE
99,JOJO,LEAVE GET OUT
100,JORJA SMITH,BLUE LIGHTS
101,JOURNEY,SUZANNE
102,JUJU,VERMISSEN
103,JUL,WESH ALORS
104,JULIAN COPE,WORLD SHUT YOUR MOUTH 1992
105,JUNO REACTOR,PISTOLERO
106,JUSTIN BIEBER,HOLD TIGHT
107,KANE BROWN,USED TO LOVE YOU SOBER
108,KANYE WEST,YE VS THE PEOPLE
109,KATE BUSH,MOMENTS OF PLEASURE
110,KATE RYAN,VOYAGE VOYAGE
111,KATE WINSLET,WHAT IF
112,KATJA EBSTEIN,THEATER
113,KEISHA WHITE,THE WEAKNESS IN ME
114,KELLY CLARKSON,LOW
115,KELLY ROWLAND,FOREVER AND A DAY
116,KENNY THOMAS,BEST OF YOU
117,KID ROCK,FIRST KISS
118,KINGS OF LEON,CALIFORNIA WAITING
119,KITSCHKRIEG,AUA OH OH GRINGO IST SAUER
120,KOD,CHACUN SA ROUTE
121,KRIS,DIESE TAGE
122,KRIS ALLEN,FALLING SLOWLY
123,KYGO,HIGHER LOVE
124,KYLIE MINOGUE,BETTER THAN TODAY
125,L5,TOUTES LES FEMMES DE TA VIE
126,LA FOUINE,JAVAIS PAS LES MOTS
127,LADY GAGA,DANCE IN THE DARK
128,LARUSSO,JE SURVIVRAI
129,LAZYB,UNDERWEAR GOES INSIDE THE PANTS
130,LEILA K,OPEN SESAME
131,LEO SAYER,LIVING IN A FANTASY
132,LEONA LEWIS,ONE MORE SLEEP
133,LEWIS CAPALDI,BEFORE YOU GO
134,LIL DURK,THE VOICE
135,LILAC TIME,AMERICAN EYES
136,LIME,BABE WERE GONNA LOVE TONITE
137,LINER,YOU AND ME
138,LINKIN PARK,WAITING FOR THE END
139,LL COOL J,FATHER
140,LONGVIEW,WHEN YOU SLEEP
141,LOSTPROPHETS,ROOFTOPS A LIBERATION BROADCAST
142,LUCIANO DE,MIOS MIT BARS
143,LUMINAIRE,FLOWER DUET
144,LUSCIOUS JACKSON,NAKED EYE
145,M83,MIDNIGHT CITY
146,MADONNA,LIVE TO TELL
147,MADRUGADA,LIFT ME
148,MAGIC BOX,CARILLON
149,MANDY SMITH,A VICTIM OF PLEASURE
150,MARC ALMOND,A LOVER SPURNED
151,MARCO BORSATO,SENTO
152,MARIAH,THANK GOD I FOUND YOU
153,MARILLION,HOOKS IN YOU
154,MARILYN MANSON,THE NOBODIES
155,MARK RONSON,VALERIE
156,MARTIN SOLVEIG,REJECTION
